시설명,계측일자,저수율
오봉,20150101,91.7
오봉,20150102,91.6
오봉,20150103,91.5
오봉,20150104,91.4
오봉,20150105,91.3
오봉,20150106,91.2
오봉,20150107,91.1
오봉,20150108,91
오봉,20150109,90.9
오봉,20150110,90.8
오봉,20150111,90.6
오봉,20150112,90.5
오봉,20150113,90.4
오봉,20150114,90.3
오봉,20150115,90.3
오봉,20150116,90.2
오봉,20150117,90.1
오봉,20150118,90
오봉,20150119,89.8
오봉,20150120,89.6
오봉,20150121,89.5
오봉,20150122,89.4
오봉,20150123,89.4
오봉,20150124,89.4
오봉,20150125,89.3
오봉,20150126,89.3
오봉,20150127,89.3
오봉,20150128,89.2
오봉,20150129,89.2
오봉,20150130,89.1
오봉,20150131,89
오봉,20150201,88.8
오봉,20150202,88.7
오봉,20150203,88.7
오봉,20150204,88.6
오봉,20150205,88.5
오봉,20150206,88.3
오봉,20150207,88.1
오봉,20150208,87.9
오봉,20150209,87.8
오봉,20150210,87.7
오봉,20150211,87.6
오봉,20150212,87.4
오봉,20150213,87.1
오봉,20150214,86.9
오봉,20150215,86.8
오봉,20150216,86.7
오봉,20150217,86.6
오봉,20150218,86.6
오봉,20150219,86.6
오봉,20150220,86.6
오봉,20150221,86.7
오봉,20150222,86.7
오봉,20150223,86.7
오봉,20150224,86.7
오봉,20150225,86.7
오봉,20150226,86.7
오봉,20150227,86.6
오봉,20150228,86.5
오봉,20150301,86.5
오봉,20150302,86.4
오봉,20150303,86.3
오봉,20150304,86.2
오봉,20150305,86.1
오봉,20150306,85.9
오봉,20150307,85.8
오봉,20150308,85.6
오봉,20150309,85.5
오봉,20150310,85.4
오봉,20150311,85.2
오봉,20150312,85
오봉,20150313,84.9
오봉,20150314,84.8
오봉,20150315,84.8
오봉,20150316,84.9
오봉,20150317,85
오봉,20150318,85.1
오봉,20150319,85.2
오봉,20150320,85.4
오봉,20150321,85.7
오봉,20150322,86.1
오봉,20150323,86.3
오봉,20150324,86.3
오봉,20150325,86.3
오봉,20150326,86.3
오봉,20150327,86.3
오봉,20150328,86.3
오봉,20150329,86.3
오봉,20150330,86.3
오봉,20150331,86.3
오봉,20150401,86.3
오봉,20150402,86.8
오봉,20150403,87.2
오봉,20150404,87.2
오봉,20150405,87.2
오봉,20150406,88.7
오봉,20150407,90.6
오봉,20150408,91.2
오봉,20150409,91.5
오봉,20150410,91.8
오봉,20150411,91.9
오봉,20150412,91.9
오봉,20150413,91.9
오봉,20150414,92.4
오봉,20150415,93.2
오봉,20150416,93.9
오봉,20150417,94.5
오봉,20150418,94.8
오봉,20150419,95
오봉,20150420,95.4
오봉,20150421,97.3
오봉,20150422,99
오봉,20150423,99
오봉,20150424,99
오봉,20150425,99
오봉,20150426,99
오봉,20150427,97.7
오봉,20150428,96.2
오봉,20150429,96
오봉,20150430,95.9
오봉,20150501,95.7
